productid,itemsize,purchaseid,quantity,purchaseprice
1,7.5,8742,1,47
1,9.5,8606,1,47
1,10.5,8185,1,47
1,10.5,8232,1,47
1,10.5,8369,2,47
1,11,8051,1,47
1,11,8416,1,47
1,11,8652,1,47
1,11,8697,1,47
1,11,8880,1,47
1,11.5,8466,1,47
2,6,8562,1,11.49
2,6.5,8657,1,11.49
2,7.5,8562,1,11.49
3,9,8351,1,27.5
3,9,8636,1,27.5
3,9.5,8124,1,27.5
3,9.5,8447,1,27.5
3,10,8636,1,27.5
3,12,8774,2,27.5
4,8,8495,1,65
4,8.5,8350,1,65
4,8.5,8816,1,65
4,10,8302,1,65
4,10,8446,1,65
4,10,8539,1,65
4,10.5,8076,1,65
4,10.5,8908,1,65
4,11,8861,1,65
4,12,8166,1,65
4,12,8588,2,65
5,7.5,8072,1,37.48
5,7.5,8253,1,37.48
5,7.5,8904,2,37.48
5,9.5,8253,2,37.48
5,9.5,8394,1,37.48
5,9.5,8720,2,37.48
5,9.5,8856,2,37.48
5,9.5,8949,2,37.48
5,11,8072,1,37.48
5,11.5,8119,1,37.48
5,11.5,8209,2,37.48
5,11.5,8394,1,37.48
5,11.5,8441,1,37.48
5,11.5,8904,1,37.48
6,12,8812,1,37.48
7,9,8029,1,34.98
7,9,8394,2,34.98
7,9.5,8029,1,34.98
7,9.5,8209,1,34.98
7,9.5,8441,1,34.98
7,9.5,8812,2,34.98
7,9.5,8949,1,34.98
7,10,8298,2,34.98
7,10,8441,1,34.98
7,11,8904,1,34.98
8,9,8631,2,37.48
8,9.5,8441,2,37.48
8,10,8072,1,37.48
8,10,8209,1,37.48
8,10,8492,2,37.48
8,10.5,8347,1,37.48
8,10.5,8949,1,37.48
8,11,8904,1,37.48
9,5,8856,1,37.48
9,5.5,8209,1,37.48
9,5.5,8347,1,37.48
9,5.5,8720,1,37.48
9,8.5,8209,1,37.48
9,8.5,8394,2,37.48
9,8.5,8720,1,37.48
9,9.5,8163,1,37.48
9,9.5,8812,2,37.48
9,9.5,8904,2,37.48
9,10,8119,1,37.48
9,10,8298,1,37.48
9,10.5,7939,1,37.48
9,10.5,8163,1,37.48
9,10.5,8394,1,37.48
9,10.5,8720,1,37.48
9,11,7939,2,37.48
9,11,8253,1,37.48
9,11,8394,2,37.48
9,11,8631,2,37.48
9,11,8856,1,37.48
9,11,8949,1,37.48
9,11.5,8441,1,37.48
9,11.5,8584,1,37.48
9,11.5,8631,1,37.48
9,11.5,8812,1,37.48
9,11.5,8856,1,37.48
9,12,8029,2,37.48
14,8,8066,2,60
14,8,8713,1,60
14,8.5,8761,1,60
14,9.5,8850,1,60
14,10.5,8066,1,60
14,10.5,8340,1,60
14,10.5,8577,1,60
14,10.5,8943,1,60
14,11,8114,1,60
14,11,8387,2,60
14,11,8670,2,60
14,11.5,8248,1,60
14,11.5,8387,1,60
14,11.5,8624,1,60
14,11.5,8713,1,60
14,11.5,8761,1,60
14,11.5,8806,2,60
14,11.5,8897,1,60
14,12,8294,2,60
14,12,8577,1,60
14,12,8761,1,60
14,12,8897,1,60
15,9,8387,1,75
15,9,8577,1,75
15,9.5,8806,1,75
16,9.5,8584,1,40
16,9.5,8720,1,40
16,9.5,8769,1,40
16,9.5,8812,2,40
16,10,8209,2,40
16,10,8856,1,40
17,10,8040,1,30
17,10,8914,1,30
17,10.5,7996,1,30
17,10.5,8082,1,30
17,10.5,8453,1,30
17,11,8403,1,30
17,11.5,7906,1,30
17,11.5,8040,1,30
17,11.5,8263,1,30
20,7,8541,1,27.5
20,7,8590,2,27.5
20,7.5,8399,2,27.5
20,7.5,8954,1,27.5
20,8.5,7945,1,27.5
20,9,7945,1,27.5
20,10.5,8305,1,27.5
20,10.5,8352,1,27.5
20,10.5,8399,1,27.5
20,10.5,8681,1,27.5
20,11,8035,1,27.5
20,11,8078,1,27.5
20,11.5,8078,1,27.5
20,11.5,8541,2,27.5
20,11.5,8726,1,27.5
20,11.5,8775,1,27.5
