saleid,saledate,customerid,tax,shipping
191228,2013-12-31,1134,0,44.37
191229,2013-12-31,14958,0,9.95
191230,2013-12-31,3275,0,9.95
191231,2014-01-01,17448,0,20.11
191232,2014-01-01,11852,0,9.95
191233,2014-01-01,5230,0,9.95
191234,2014-01-02,14956,0,9.95
191235,2014-01-02,10767,0,46.34
191236,2014-01-02,8907,2.32,9.95
191237,2014-01-02,12110,0,18.75
191238,2014-01-02,653,0,39.05
191239,2014-01-02,14473,0,9.95
191240,2014-01-02,14396,0,9.95
191241,2014-01-02,3724,0,44.68
191242,2014-01-02,3852,0,39.73
191243,2014-01-02,14932,0,9.95
191244,2014-01-03,411,0,19.47
191245,2014-01-03,317,0,9.95
191246,2014-01-03,6238,0,40.05
191247,2014-01-03,5054,0,9.95
191248,2014-01-03,3325,0,37.35
191249,2014-01-04,13696,0,37.91
191250,2014-01-04,15996,0,19.43
191251,2014-01-04,7881,0,37.39
191252,2014-01-04,14209,0,51.28
191253,2014-01-04,3433,0,9.95
191254,2014-01-04,17996,0,18.35
191255,2014-01-04,10402,0,42.21
191256,2014-01-05,14019,0,9.95
191257,2014-01-05,8135,0,9.95
191258,2014-01-05,14628,0,9.95
191259,2014-01-05,2092,0,9.95
191260,2014-01-05,6102,0,47.44
191261,2014-01-05,15733,0,47.72
191262,2014-01-06,4696,0,9.95
191263,2014-01-06,15256,0,9.95
191264,2014-01-06,17519,0,21.19
191265,2014-01-06,17811,0,41.01
191266,2014-01-06,7146,0,9.95
191267,2014-01-06,3173,0,41.39
191268,2014-01-06,11165,0,9.95
191269,2014-01-06,17245,0,9.95
191270,2014-01-06,6863,0,47.81
191271,2014-01-07,1986,0,9.95
191272,2014-01-07,8546,0,37.53
191273,2014-01-07,5135,0,44.29
191274,2014-01-07,14557,0,9.95
191275,2014-01-07,9020,0,45.8
191276,2014-01-07,8485,0,9.95
191277,2014-01-07,17371,0,9.95
191278,2014-01-08,4725,0,42.15
191279,2014-01-08,4948,29.28,40.77
191280,2014-01-08,10345,0,44.21
191281,2014-01-08,9670,0,18.63
191282,2014-01-08,17807,0,9.95
191283,2014-01-08,8033,0,9.95
191284,2014-01-09,13624,0,9.95
191285,2014-01-10,15796,0,9.95
191286,2014-01-10,9709,0,21.27
191287,2014-01-10,6409,0,34.85
191288,2014-01-11,8546,0,9.95
191289,2014-01-11,10748,0,9.95
191290,2014-01-11,2069,0,37.27
191291,2014-01-11,14726,8.8,9.95
191292,2014-01-11,555,0,26.62
191293,2014-01-11,2385,0,9.95
191294,2014-01-11,17725,0,54.87
191295,2014-01-11,1200,0,19.47
191296,2014-01-12,3775,0,9.95
191297,2014-01-12,5969,0,9.95
191298,2014-01-12,1950,0,54.45
191299,2014-01-12,9106,0,9.95
191300,2014-01-12,2447,0,44.51
191301,2014-01-12,2281,0,9.95
191302,2014-01-12,9916,0,9.95
191303,2014-01-14,14689,0,9.95
191304,2014-01-14,6523,0,44.78
191305,2014-01-14,769,0,27.4
191306,2014-01-14,9891,0,18.59
191307,2014-01-14,7928,0,43.23
191308,2014-01-15,17963,0,33.33
191309,2014-01-15,11359,0,19.71
191310,2014-01-15,3030,0,33.05
191311,2014-01-15,14114,0,9.95
191312,2014-01-15,5927,0,9.95
191313,2014-01-15,16731,0,42.03
191314,2014-01-16,16996,0,9.95
191315,2014-01-16,17667,0,58.15
191316,2014-01-16,2090,18,33.87
191317,2014-01-16,9673,0,47.92
191318,2014-01-16,1719,0,36.95
191319,2014-01-16,13914,0,27.48
191320,2014-01-16,8011,0,37.21
191321,2014-01-16,18166,0,9.95
191322,2014-01-17,13639,0,9.95
191323,2014-01-17,11310,0,9.95
191324,2014-01-17,7572,0,9.95
191325,2014-01-17,3612,0,40.59
191326,2014-01-17,8734,0,9.95
191327,2014-01-17,8926,0,44.01
191328,2014-01-17,1355,0,45.94
191329,2014-01-17,13463,0,41.35
191330,2014-01-17,13002,0,30.08
191331,2014-01-17,15556,0,9.95
191332,2014-01-18,6168,0,9.95
191333,2014-01-18,7651,0,44.73
191334,2014-01-18,9469,0,9.95
191335,2014-01-18,698,0,48.96
191336,2014-01-18,5850,0,49
191337,2014-01-18,5708,0,34.85
191338,2014-01-18,1369,0,9.95
191339,2014-01-19,15400,0,43.65
191340,2014-01-19,13087,0,9.95
191341,2014-01-19,8791,0,44.55
191342,2014-01-19,7170,0,37.89
191343,2014-01-19,17489,35.04,51.83
191344,2014-01-19,17389,0,40.91
191345,2014-01-21,724,0,54.41
191346,2014-01-21,7709,0,44.03
191347,2014-01-21,16772,5.6,9.95
191348,2014-01-21,11131,0,9.95
191349,2014-01-21,5977,0,9.95
191350,2014-01-21,9469,0,38.23
191351,2014-01-21,3325,0,41.93
191352,2014-01-21,1002,0,35.49
191353,2014-01-21,2926,0,9.95
191354,2014-01-21,12905,27.68,43.63
191355,2014-01-21,8713,0,51.08
191356,2014-01-21,14782,0,36.07
191357,2014-01-22,12052,0,38.33
191358,2014-01-22,15400,0,46.38
191359,2014-01-22,5845,0,43.03
191360,2014-01-22,3442,0,34.85
191361,2014-01-23,14836,0,9.95
191362,2014-01-23,3223,0,9.95
191363,2014-01-23,11796,0,42.75
191364,2014-01-23,10697,0,48.38
191365,2014-01-23,6949,0,9.95
191366,2014-01-23,14315,0,48.7
191367,2014-01-23,13877,0,9.95
191368,2014-01-24,11279,0,9.95
191369,2014-01-24,12270,0,9.95
191370,2014-01-24,3808,0,49.08
191371,2014-01-24,14464,0,48.54
191372,2014-01-24,14929,0,48.52
191373,2014-01-25,8659,0,9.95
191374,2014-01-25,5107,0,9.95
191375,2014-01-25,248,0,9.95
191376,2014-01-25,15635,0,50.02
191377,2014-01-25,15081,0,9.95
191378,2014-01-25,8118,0,53.49
191379,2014-01-25,10973,0,9.95
191380,2014-01-25,13573,0,19.31
191381,2014-01-26,7638,0,43.23
191382,2014-01-27,17904,0,9.95
191383,2014-01-27,2755,0,9.95
191384,2014-01-27,2170,0,9.95
191385,2014-01-27,4805,0,44.99
191386,2014-01-27,12890,0,33.19
191387,2014-01-27,13215,0,22.11
191388,2014-01-28,17942,0,9.95
191389,2014-01-28,13171,0,47.08
191390,2014-01-28,14492,0,9.95
191391,2014-01-28,14315,0,9.95
191392,2014-01-28,16553,0,45.88
191393,2014-01-28,8212,0,40.63
191394,2014-01-28,1606,0,47.6
191395,2014-01-29,12558,0,51.34
191396,2014-01-29,15210,0,43.01
191397,2014-01-29,844,7.6,9.95
191398,2014-01-30,13156,0,53.99
191399,2014-01-30,10093,0,9.95
191400,2014-01-31,6078,10.96,20.65
191401,2014-01-31,4788,0,9.95
191402,2014-01-31,12861,0,40.13
191403,2014-01-31,661,5.28,9.95
191404,2014-01-31,10884,0,9.95
191405,2014-01-31,8465,0,9.95
191406,2014-01-31,17113,0,9.95
191407,2014-01-31,8555,0,9.95
191408,2014-02-01,263,0,9.95
191409,2014-02-01,10552,0,9.95
191410,2014-02-03,7264,0,32.49
191411,2014-02-03,3264,0,39.35
191412,2014-02-03,3825,0,37.63
191413,2014-02-03,3476,0,49.44
191414,2014-02-04,11727,0,9.95
191415,2014-02-04,6702,0,48.66
191416,2014-02-04,13275,0,54.39
191417,2014-02-04,16325,3.76,9.95
191418,2014-02-04,8485,0,9.95
191419,2014-02-04,367,0,47
191420,2014-02-05,7709,0,18.69
191421,2014-02-05,3530,0,9.95
191422,2014-02-05,12428,0,9.95
191423,2014-02-05,15796,0,9.95
191424,2014-02-05,14134,0,9.95
191425,2014-02-05,3808,0,9.95
191426,2014-02-06,2441,0,40.37
191427,2014-02-06,951,0,9.95
191428,2014-02-06,13523,0,9.95
