saleid,productid,itemsize,quantity,saleprice
191228,180,6.5,1,57.65
191228,713,10.5,1,63.05
191228,861,10.5,1,96.6
191228,1280,10.5,1,116.99
191228,1298,6.5,2,15.29
191229,641,8.5,1,22.99
191230,1206,10.5,1,53.1
191231,840,9.5,2,50.04
191232,916,10.5,1,72
191233,289,6.5,1,16.48
191234,787,10,1,18.99
191235,146,11.5,1,54.71
191235,392,5.5,1,31.61
191235,545,7.5,1,29.39
191235,920,6.5,1,12.73
191235,946,9.5,1,62.1
191235,1189,9.5,1,106.7
191235,1364,10,1,36.62
191236,373,9,1,28.7
191237,338,11,1,16.73
191237,1017,7,1,23.51
191238,533,9,1,20.69
191238,885,10,2,63.99
191238,1295,11,1,104.75
191238,1344,6.5,1,20.99
191239,380,9.5,1,79.2
191240,1126,6,1,31.95
191241,219,10,1,23.51
191241,424,10.5,2,29.09
191241,442,8,1,47.93
191241,692,12,1,26.87
191241,1070,9.5,1,19.31
191241,1147,7.5,1,75.59
191242,77,8,1,80.9
191242,451,10,1,19.39
191242,915,9.5,2,77.6
191242,1372,7,1,44.17
191243,285,9,1,22.74
191244,679,7,2,38.99
191245,1197,9.5,1,40.84
191246,93,9.5,1,47.49
191246,276,10,1,63
191246,345,10,1,67.9
191246,432,11,1,65
191246,530,11.5,1,75
191247,899,7,1,59.14
191248,602,8,1,24.99
191248,605,10,2,13.01
191248,647,10.5,1,108.9
191248,809,9.5,1,31.35
191249,428,10,1,34.29
191249,1005,11.5,1,80
191249,1181,10.5,1,45.53
191249,1272,7,1,37.2
191249,1288,7,1,21.33
191250,967,8,2,36.85
191251,50,10.5,1,52.19
191251,202,8,1,40.95
191251,635,9.5,1,18.99
191251,645,8,1,36
191251,1110,9,1,31.49
191252,412,7,1,23.24
191252,530,10,1,69
191252,696,10.5,1,60.45
191252,861,11.5,1,105
191252,1026,12.5,2,110
191252,1295,8.5,1,103.67
191253,496,11.5,1,65
191254,779,9.5,2,10.44
191255,142,10.5,1,48.59
191255,327,12,1,59.52
191255,888,11.5,1,73.79
191255,940,9.5,1,44.99
191255,1078,5.5,2,13.79
191256,21,10,1,81
191257,408,10.5,1,95
191258,324,11,1,34.64
191259,737,6,1,20.15
191260,321,10.5,1,84.59
191260,348,9,1,15.19
191260,562,6.5,1,54.99
191260,635,8,1,17.47
191260,887,7,1,70.19
191260,938,10.5,1,89.1
191260,960,9.5,1,56.25
191261,486,9,2,74.4
191261,519,9,1,52.07
191261,725,10,1,22.55
191261,859,9.5,1,64.79
191261,859,10.5,1,65.51
191261,1198,9.5,1,33.11
191262,1079,12,1,55.99
191263,1295,11.5,1,101.51
191264,408,10.5,1,96
191264,1395,9,1,63.35
191265,438,8.5,1,71.25
191265,492,11,1,47.49
191265,533,9.5,1,22.53
191265,642,10,1,17.28
191265,706,8,1,21.61
191265,1341,6.5,1,24.99
191266,566,11,1,26.67
191267,272,12,1,83.7
191267,631,7,1,20.45
191267,806,7,1,15.63
191267,956,8,1,31.67
191267,1317,10.5,2,32.39
191268,142,11,1,53.99
191269,488,10.5,1,79.05
191270,244,10,1,75
191270,1104,9,1,56.4
191270,1249,11,2,130.95
191270,1415,12,2,72
191271,856,12,1,60.29
191272,338,10,1,16.37
191272,347,12,1,51.51
191272,358,12,2,51.7
191272,711,8.5,1,19.99
191273,17,11.5,1,54.59
191273,56,11.5,1,79.2
191273,599,10.5,1,41.35
191273,811,9.5,1,59.99
191273,869,9.5,1,74.1
191273,1361,8.5,1,46.54
191274,360,8,1,117.6
191275,254,9,2,40.17
191275,327,9.5,1,60.16
191275,732,7,1,19.19
191275,936,9.5,1,46.55
191275,1006,11,1,72.75
191275,1420,12,1,32.89
191276,201,9.5,1,65.69
191277,940,7,1,41.84
191278,225,10,2,28.49
191278,416,8.5,1,21.99
191278,696,9.5,1,60.45
191278,954,9.5,1,27.89
191278,1137,6.5,1,95
191279,21,9.5,2,90
191279,967,8.5,2,37.99
191279,1189,11,1,110
191280,122,9,2,32.99
191280,482,12,1,128.7
191280,916,11.5,1,68.25
191280,1174,9.5,1,56.83
191280,1181,11.5,1,45.07
191281,1373,8.5,2,16.73
191282,969,8,1,35.99
191283,1128,9,1,74.25
191284,869,10.5,1,74.1
191285,1315,11.5,1,42.29
191286,375,11,1,31.67
191286,1249,12,1,122.85
191287,36,10,2,45.07
191287,868,9,1,68.08
191287,1295,12,1,107.99
191288,1385,7,1,65.96
191289,351,9,1,81.9
191290,43,9,1,34.65
191290,453,6,2,31.84
191290,928,11.5,1,58.8
191290,987,10,1,23.39
191291,1189,12,1,107.8
191292,425,8,1,64.8
191292,1238,9,1,27.43
191292,1421,6.5,1,16.99
191293,1100,11,1,29.69
191294,280,9.5,2,98
191294,690,9,2,44.99
191294,810,9,1,63.7
191294,915,9,2,74.4
191294,940,12,1,41.84
191294,1261,12,1,29.39
191295,192,12,2,38.6
191296,940,11,1,44.09
191297,1172,8,1,43.7
191298,267,10.5,1,17.47
191298,325,10,1,35.87
191298,809,12,1,31.67
191298,989,9,2,110
191298,1052,7.5,1,55.2
191298,1216,8,2,72
191298,1392,9.5,1,45.07
191299,435,11,1,81.6
191300,425,11,1,72
191300,615,11,1,43.19
191300,868,10.5,1,70.3
191300,900,11.5,1,85.25
191300,915,12,1,80
191300,1321,9,1,31.35
191301,829,7.5,1,44.55
191302,276,8,1,69.3
191303,1250,9.5,1,64.4
191304,65,9,1,74.87
191304,97,9.5,1,39.99
191304,520,10,1,17.99
191304,957,5.5,1,15.46
191304,970,7.5,2,24.24
191304,1086,9,1,68.6
191305,178,11,1,51.47
191305,244,11,1,69
191305,727,6.5,1,28.12
191306,490,9,2,15.8
191307,681,6,1,36
191307,940,11,1,44.54
191307,1082,12,1,57.22
191307,1186,7.5,1,70
191307,1240,10,1,28.49
191307,1282,11.5,1,77.07
191308,626,6,1,20.67
191308,881,9.5,1,89.09
191308,967,7,1,36.47
191308,1330,11.5,1,47.99
191309,577,8,2,44.54
191310,314,8,1,55
191310,786,6,1,21.83
191310,937,7,1,63.99
191310,1171,10.5,1,38.94
191311,1056,11,1,61.38
191312,916,10.5,1,75
191313,91,10,1,19.31
191313,124,6.5,1,22.76
191313,280,11,1,92
191313,319,8.5,1,19.79
191313,1035,9.5,1,55.79
191313,1335,12,1,41.57
191314,735,11.5,1,49.49
191315,308,11,1,55.8
191315,530,11.5,1,72
191315,661,8.5,1,41.84
191315,901,9.5,2,97.36
191315,1004,10,2,81
191315,1337,10.5,2,88.2
191316,274,10.5,1,90
191316,813,12,1,44.99
191316,954,8.5,1,28.49
191316,984,11.5,1,54.45
191317,164,7.5,2,16.99
191317,276,11.5,1,69.3
191317,527,10,1,14.39
191317,663,9,1,19.99
191317,834,8,1,22.55
191317,870,11.5,1,88
191317,1415,10,1,70.5
191318,174,8,1,63.47
191318,455,8.5,1,27.89
191318,520,10,1,17.45
191318,564,9,1,39.99
191318,589,7,1,16.55
191319,494,8.5,1,54.59
191319,918,6,1,43.64
191319,1028,10,1,50.04
191320,836,7.5,2,15.67
191320,906,9,1,40
191320,926,11.5,2,52.2
191321,948,8.5,1,22.07
191322,1372,10,1,46.99
191323,1019,8.5,1,26.18
191324,727,6.5,1,26.96
191325,274,12,1,85.5
191325,417,10.5,1,29.09
191325,437,11,1,69.75
191325,539,7,1,74.99
191325,1396,8,1,86.99
191326,219,11,1,23.51
191327,26,6.5,1,103.4
191327,559,11,1,68.24
191327,1001,11,1,63.05
191327,1207,11,1,56.99
191327,1333,11.5,1,29.99
191327,1363,9.5,1,23.99
191328,130,10,2,21.15
191328,386,10.5,1,34.03
191328,640,9,1,43.64
191328,759,7.5,1,16.31
191328,1008,12,1,73.71
191328,1189,9.5,1,104.5
191329,23,11.5,1,63.7
191329,417,9.5,1,27.59
191329,427,11,1,49.67
191329,1153,11,2,18.42
191329,1386,10.5,1,41.39
191330,232,11.5,1,49.5
191330,579,11.5,1,59.79
191330,857,9.5,1,164.9
191331,1370,12,1,96.99
191332,242,6.5,1,32.33
191333,131,10.5,1,80.08
191333,228,8.5,1,38.21
191333,420,12,1,65
191333,878,9,1,74.25
191333,897,10.5,1,72.67
191333,1013,9.5,1,47.42
191334,220,9,1,23.03
191335,269,12,1,49
191335,360,11.5,1,110.4
191335,520,7.5,1,17.45
191335,870,10.5,2,81.84
191335,1081,11.5,2,53.68
191336,269,11,2,50
191336,967,11,2,37.23
191336,1129,5.5,1,67.5
191336,1206,12.5,1,57.23
191336,1265,10,1,32.66
191336,1364,8.5,1,34.4
191337,367,9.5,1,95
191337,488,10.5,1,79.05
191337,696,11,1,65
191337,1048,9.5,1,28.99
191338,352,11,1,81.6
191339,391,8.5,1,34.57
191339,396,10,1,23.75
191339,457,10,1,22.07
191339,1134,7.5,1,77.89
191339,1337,11.5,2,90
191340,1134,11,1,74.61
191341,272,11,1,82.8
191341,608,11,1,12.99
191341,846,11,1,28.41
191341,915,11,1,77.6
191341,1189,10.5,1,103.4
191341,1215,11,1,67.2
191342,707,10,1,57.99
191342,811,10,1,53.99
191342,1007,10,1,44.17
191342,1025,8.5,1,17.28
191342,1375,11.5,1,36.85
191343,136,10,1,85.5
191343,274,12,1,84.6
191343,373,11,2,28.41
191343,699,6.5,2,8.18
191343,729,9.5,1,59.8
191343,773,9.5,1,83.99
191343,1323,7,1,27.15
191344,231,8,1,34.55
191344,638,8.5,2,23.99
191344,902,10.5,1,61.99
191344,1152,10.5,2,30.37
191345,230,8.5,1,43.19
191345,314,11,1,54.45
191345,485,10.5,1,74.4
191345,550,10.5,1,64.35
191345,1186,9.5,2,68.6
191345,1215,12,2,66.5
191345,1388,9,1,40.31
191346,57,11.5,1,94.08
191346,236,9.5,1,14.39
191346,308,12,1,57.6
191346,758,11,1,50.75
191346,879,8.5,1,72.53
191346,1052,9.5,1,54
191347,276,9.5,1,70
191348,1155,11,1,27.89
191349,436,11.5,1,72
191350,288,7,2,17.99
191350,849,10.5,1,80
191350,1195,9,1,85.25
191350,1418,7.5,1,34.19
191351,86,9,1,12.73
191351,870,8,1,80.08
191351,1079,9.5,1,54.87
191351,1236,7.5,1,25.1
191351,1276,12.5,1,37.19
191351,1317,12,1,34.55
191352,119,9.5,1,43.69
191352,272,11,1,83.7
191352,333,8.5,2,78.19
191353,520,10,1,16.73
191354,253,8.5,1,31.61
191354,364,12,2,67.9
191354,408,11.5,1,90
191354,659,6,1,38.6
191355,417,12,1,29.39
191355,578,12,1,35.33
191355,707,8,1,57.99
191355,1224,10.5,2,66.96
191355,1290,11.5,2,94.08
191355,1300,6,1,18.59
191356,177,9.5,1,81.99
191356,274,9,1,81
191356,530,9.5,1,75
191356,1269,9,1,87.11
191357,23,12,1,61.1
191357,31,9.5,1,63.7
191357,315,11.5,1,59.4
191357,628,9,1,25.73
191357,1310,7,1,25.47
191358,397,9.5,1,42.99
191358,557,8,1,27.59
191358,825,9,2,34.4
191358,865,11.5,1,70.67
191358,1087,11.5,1,59.8
191358,1106,10.5,1,63.7
191359,36,7.5,1,43.69
191359,91,10,1,19.52
191359,244,12,1,69
191359,320,12,2,51.86
191359,811,10.5,1,59.99
191360,146,11.5,1,56.99
191360,277,8.5,1,62.99
191360,821,10.5,1,52.37
191360,854,10.5,1,100
191361,679,6.5,1,37.43
191362,395,7.5,1,65.28
191363,50,8,1,57.99
191363,134,9,1,24.24
191363,396,8.5,1,23.51
191363,482,11.5,1,118.3
191363,872,12,1,38.64
191363,1322,7,1,22.99
191364,232,8,1,55
191364,915,11.5,1,72.8
191364,1134,9.5,1,73.79
191364,1223,9.5,2,61.63
191364,1408,11,1,54.31
191364,1432,9,1,44.61
191365,1237,8,1,29.44
191366,204,8.5,1,34.29
191366,530,11.5,1,69
191366,559,10.5,1,74.99
191366,559,12,2,74.99
191366,604,10,1,28.99
191366,861,10,1,105
191367,1018,9,1,44
191368,1330,11.5,1,43.19
191369,709,12,1,31.27
191370,219,7,2,22.07
191370,455,10,1,28.79
191370,944,6.5,1,29.44
191370,1145,10,1,125
191370,1229,9.5,2,36.39
191370,1350,11.5,1,65.1
191371,223,8,1,28.49
191371,564,7,1,39.99
191371,766,12,1,65
191371,970,9,1,22.74
191371,1154,7,1,11.39
191371,1195,11,1,81.77
191371,1361,9,2,48.01
191372,219,11,1,22.55
191372,276,11.5,2,70
191372,276,12,1,67.9
191372,361,11,1,108.77
191372,436,10.5,1,72
191372,906,12,1,40
191373,675,10.5,1,23.03
191374,1235,8.5,1,24.17
191375,426,7,1,53.09
191376,113,10.5,1,83.7
191376,179,11.5,1,49.49
191376,274,10.5,1,90
191376,954,8.5,1,27.29
191376,1129,5.5,1,69
191376,1162,6.5,2,29.99
191376,1252,10.5,1,34.19
191377,916,10,1,68.25
191378,173,8,1,22.76
191378,611,8.5,1,49.97
191378,1048,9,1,26.09
191378,1052,10.5,1,55.2
191378,1076,9.5,2,81.9
191378,1295,12,1,100.43
191379,308,7,1,57
191380,428,10.5,2,34.99
191381,33,10,1,111.6
191381,195,6,1,32.99
191381,448,8,1,11.69
191381,915,12,1,80
191381,1192,10.5,1,31.49
191381,1386,12,1,43.19
191382,645,11,1,40
191383,1062,9.5,1,52.8
191384,179,10.5,1,49.49
191385,757,9.5,2,43.99
191385,823,9,1,138
191385,925,10.5,1,55.68
191385,1105,11,2,61.75
191386,114,8,1,19.39
191386,725,7.5,1,21.59
191386,881,11.5,1,89.99
191386,1074,11.5,1,56.42
191387,861,12,2,101.85
191388,499,9.5,1,53.34
191389,100,9,2,25.64
191389,179,8.5,1,46.99
191389,470,10,1,37.79
191389,639,12,2,44.64
191389,708,10,1,23.51
191389,793,10.5,1,18.79
191390,1292,10,1,74.1
191391,759,7.5,1,16.82
191392,253,9,1,31.95
191392,384,9,2,10.33
191392,429,12,1,21.38
191392,742,11,1,62.78
191392,1189,9.5,1,110
191392,1350,11.5,1,66.5
191393,436,11.5,1,73.5
191393,735,11.5,1,46.49
191393,1079,9.5,1,52.07
191393,1142,9,2,88.99
191394,9,11,1,74.95
191394,308,12,1,55.2
191394,351,11.5,1,86.4
191394,589,6,1,16.73
191394,946,8.5,1,62.79
191394,1111,9,2,50.48
191395,232,11.5,2,53.9
191395,276,11,1,67.2
191395,736,6.5,1,10.33
191395,859,10.5,1,65.51
191395,868,11.5,1,68.82
191395,915,10,1,78.4
191395,1414,10.5,1,74.4
191396,470,10,1,39.05
191396,915,11,1,72
191396,916,10.5,1,75
191396,1033,10.5,1,57.6
191396,1266,8.5,1,29.99
191396,1323,6,1,26.03
191397,136,11.5,1,91.2
191398,591,7,1,31.67
191398,855,10.5,1,121.5
191398,973,6.5,1,44.63
191398,985,11.5,2,52.25
191398,1214,8,1,66.63
191398,1399,10.5,1,59.39
191398,1432,11,2,44.15
191399,335,10,1,95
191400,915,7.5,1,77.6
191400,1178,8,1,54.14
191401,98,6.5,1,17.99
191402,787,7.5,1,19.99
191402,938,12,1,82.8
191402,1053,10,1,23.27
191402,1293,9.5,2,100
191403,535,6,1,64.01
191404,924,11,1,45.99
191405,881,12,1,88.19
191406,454,6,1,22.99
191407,454,8.5,1,22.76
191408,327,7.5,1,57.6
191409,272,11,1,85.5
191410,537,9.5,1,61.37
191410,588,11,1,39.6
191410,792,5.5,1,17.99
191410,1170,11,1,29.12
191411,351,11.5,1,90
191411,364,8.5,1,65.8
191411,539,9.5,1,67.49
191411,1196,8.5,2,29.99
191412,105,5.5,1,38.21
191412,137,10,1,75
191412,253,7,1,31.27
191412,476,7.5,1,23.99
191412,1268,11.5,1,34.77
191413,66,9.5,1,96.46
191413,567,7.5,2,26.59
191413,714,5,2,18.59
191413,924,7.5,1,47.99
191413,1295,11.5,1,106.91
191413,1335,12,1,38.63
191414,1241,11,1,17.63
191415,54,10.5,1,100
191415,495,9,2,64.4
191415,843,7.5,1,40
191415,940,12,1,41.84
191415,1296,8.5,1,57.03
191415,1414,10.5,1,72
191416,161,7,1,28.2
191416,242,7,1,31.34
191416,274,11.5,1,87.3
191416,308,11,2,59.4
191416,361,11,1,109.88
191416,690,10,1,42.74
191416,1009,10,2,62.55
191417,639,10.5,1,46.52
191418,916,10,1,71.25
191419,187,8,1,31.36
191419,260,8,1,18.19
191419,755,8,1,38.39
191419,864,11.5,1,113.99
191419,1056,11.5,1,55.8
191419,1062,12,2,49.5
191420,365,9.5,1,13.49
191420,632,8.5,1,22.79
191421,1050,9.5,1,51.99
191422,1138,6.5,1,67.99
191423,844,12,1,48.99
191424,874,11,1,63.64
191425,550,11.5,1,62.4
191426,52,12,1,56.41
191426,222,7.5,1,56.4
191426,273,11.5,1,50
191426,482,11.5,1,117
191426,599,12,1,42.23
191427,1269,12,1,82.71
191428,643,9,1,58.19
191429,131,11.5,1,88
191429,219,8.5,1,22.55
191429,316,12,1,53.35
191429,599,9.5,1,43.11
191429,1006,11,1,68.25
191429,1056,11.5,1,57.66
191430,1090,9.5,1,63.05
191431,192,7.5,1,36.65
191431,259,6.5,1,22.99
191431,730,9,1,35.48
191431,870,11.5,1,79.2
191431,1062,10,1,52.8
191432,1181,11.5,2,42.77
191433,66,11.5,1,106
191433,440,11.5,1,76.43
191433,881,10,1,83.69
191433,976,8.5,1,53.99
191433,1126,7,1,30.59
191433,1165,6,1,18.99
191433,1188,10.5,1,90.25
